date,state,count,amount,registeredUsers,date_id
2020-02-01,15,198462,457193433.4423192,55574,761
2020-02-01,16,1052520,1769175883.5859666,336666,761
2020-02-01,17,635395,1153735154.3383973,136211,761
2020-02-01,18,10505199,19766300125.91936,2550883,761
2020-02-01,19,57676797,100099431877.35463,13222022,761
2020-02-01,20,20141511,37486201975.92356,4061035,761
2020-02-01,21,50028576,91733036612.09778,7258315,761
2020-02-01,22,18820925,32268382206.90111,3401658,761
2020-02-01,23,76340573,147922015289.06403,11374423,761
2020-02-01,24,47420185,80387846359.49086,11392657,761
2020-02-01,25,973152,1302376453.8880565,244814,761
2020-02-01,27,184790761,296359517159.4233,28765086,761
2020-02-01,28,144917855,302583689746.56635,14319675,761
2020-02-01,29,213221712,321104877020.1407,18655366,761
2020-02-01,30,1482092,2183616430.0167713,430639,761
2020-02-01,31,7220,16942922.085944396,3187,761
2020-02-01,32,16287967,25894078478.600117,4728844,761
2020-02-01,33,51870110,95826508896.82903,12150786,761
2020-02-01,34,1033383,1960030980.4875903,255600,761
2020-02-01,35,62962,169645001.4141471,32710,761
2020-03-01,0,236372126,505961144755.87006,14590882,790
2020-03-01,1,3694120,12812717260.930658,1008220,790
2020-03-01,2,5489876,10516054014.086979,1378634,790
2020-03-01,3,17209573,40123092147.81335,4694233,790
2020-03-01,4,2158086,5089809353.36507,362588,790
2020-03-01,5,11818935,22103510968.00649,2365438,790
2020-03-01,6,57938179,109567950445.73016,8398816,790
2020-03-01,7,96491861,175163962804.6606,9044174,790
2020-03-01,8,149088676,293678306162.45605,14969412,790
2020-03-01,9,127405259,248689955423.06213,24838116,790
2020-03-01,10,71503748,173328865111.8183,11763213,790
2020-03-01,11,596435,1400926728.6603985,134773,790
2020-03-01,12,962827,2609938565.558217,206046,790
2020-03-01,13,736319,2009649143.1547935,173106,790
2020-03-01,14,1420168,4615976120.870511,258563,790
2020-03-01,15,254703,707944175.5046004,68315,790
2020-03-01,16,1317885,2341819516.2158847,376731,790
2020-03-01,17,597579,1237059001.3830361,157741,790
2020-03-01,18,12397711,29831391259.543964,2830011,790
2020-03-01,19,79954504,156813355855.14078,14448366,790
2020-03-01,20,27068473,50622615820.01373,4480027,790
2020-03-01,21,66033829,122463943804.29164,7901755,790
2020-03-01,22,24148539,41526744807.53401,3799386,790
2020-03-01,23,108579881,205701679984.5356,12564224,790
2020-03-01,24,59290179,111921752484.71175,12467847,790
2020-03-01,25,1138312,1749789114.9993634,267946,790
2020-03-01,27,268310924,440307079012.4383,31409513,790
